Datetime,Satellite,Mean (mg m-3),Min (mg m-3),Max (mg m-3),Pixel Coverage (%),URL
2016-05-04T09:31:00.000+00:00,S3A,9.84068,8.47413,11.49939,21,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160504T093142_sui_zug.tif
2016-05-06T10:20:00.000+00:00,S3A,8.90094,7.12652,11.92937,23,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160506T102019_sui_zug.tif
2016-05-07T09:54:00.000+00:00,S3A,9.34442,7.17688,12.91804,53,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160507T095408_sui_zug.tif
2016-05-26T10:01:00.000+00:00,S3A,9.06495,8.15219,10.75663,27,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160526T100137_sui_zug.tif
2016-05-31T09:31:00.000+00:00,S3A,9.76399,8.7674,10.75095,4,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160531T093142_sui_zug.tif
2016-06-06T10:16:00.000+00:00,S3A,8.62481,8.06207,9.82057,12,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160606T101635_sui_zug.tif
2016-06-07T09:50:00.000+00:00,S3A,8.5099,6.516,10.57485,58,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160607T095024_sui_zug.tif
2016-06-10T10:12:00.000+00:00,S3A,8.89649,6.98506,10.91559,46,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160610T101251_sui_zug.tif
2016-06-15T09:42:00.000+00:00,S3A,9.85641,8.3751,12.10255,25,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160615T094255_sui_zug.tif
2016-06-20T09:13:00.000+00:00,S3A,9.20759,8.38259,10.10019,7,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160620T091300_sui_zug.tif
2016-06-22T10:01:00.000+00:00,S3A,9.41505,7.58963,12.30726,67,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160622T100137_sui_zug.tif
2016-06-23T09:35:00.000+00:00,S3A,9.73701,8.35903,12.47146,56,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160623T093526_sui_zug.tif
2016-06-27T09:31:00.000+00:00,S3A,8.83701,7.41219,10.37135,25,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160627T093142_sui_zug.tif
2016-06-29T10:20:00.000+00:00,S3A,5.8125,5.8125,5.8125,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160629T102019_sui_zug.tif
2016-07-01T09:27:00.000+00:00,S3A,8.12609,6.71841,8.97155,13,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160701T092758_sui_zug.tif
2016-07-03T10:16:00.000+00:00,S3A,7.94879,5.76444,9.531,36,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160703T101635_sui_zug.tif
2016-07-04T09:50:00.000+00:00,S3A,7.80289,5.42503,9.29948,64,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160704T095024_sui_zug.tif
2016-07-07T10:12:00.000+00:00,S3A,6.14945,3.83668,8.07782,51,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160707T101251_sui_zug.tif
2016-07-09T09:20:00.000+00:00,S3A,7.93984,7.40316,8.31301,8,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160709T092029_sui_zug.tif
2016-07-17T09:13:00.000+00:00,S3A,8.46198,6.87797,9.59753,43,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160717T091300_sui_zug.tif
2016-07-16T09:39:00.000+00:00,S3A,7.72158,4.75497,8.97274,53,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160716T093911_sui_zug.tif
2016-07-19T10:01:00.000+00:00,S3A,7.21795,4.54278,8.42959,70,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160719T100137_sui_zug.tif
2016-07-20T09:35:00.000+00:00,S3A,7.47081,5.03062,8.51967,63,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160720T093526_sui_zug.tif
2016-07-24T09:31:00.000+00:00,S3A,8.37786,7.77382,8.69068,17,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160724T093142_sui_zug.tif
2016-07-26T10:20:00.000+00:00,S3A,8.57647,8.3131,8.85671,12,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160726T102019_sui_zug.tif
2016-07-30T10:16:00.000+00:00,S3A,7.15109,4.53822,8.40317,67,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160730T101635_sui_zug.tif
2016-07-28T09:27:00.000+00:00,S3A,8.31902,7.31392,9.18546,5,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160728T092758_sui_zug.tif
2016-08-04T09:46:00.000+00:00,S3A,5.69931,3.79011,7.36781,38,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160804T094640_sui_zug.tif
2016-08-03T10:12:00.000+00:00,S3A,6.56266,6.06551,7.63415,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160803T101251_sui_zug.tif
2016-08-07T10:09:00.000+00:00,S3A,8.19865,6.69747,8.96229,68,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160807T100906_sui_zug.tif
2016-08-08T09:42:00.000+00:00,S3A,8.57649,7.67729,9.91532,65,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160808T094255_sui_zug.tif
2016-08-11T10:05:00.000+00:00,S3A,8.87396,7.50284,9.93559,66,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160811T100522_sui_zug.tif
2016-08-13T09:13:00.000+00:00,S3A,9.99395,8.96459,10.6488,50,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160813T091300_sui_zug.tif
2016-08-15T10:01:00.000+00:00,S3A,8.31859,7.01635,9.00414,44,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160815T100137_sui_zug.tif
2016-08-16T09:35:00.000+00:00,S3A,8.52469,8.05747,9.09702,60,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160816T093526_sui_zug.tif
2016-08-22T10:20:00.000+00:00,S3A,8.20348,6.2188,8.92919,26,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160822T102019_sui_zug.tif
2016-08-24T09:27:00.000+00:00,S3A,9.25227,8.30145,10.42698,58,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160824T092758_sui_zug.tif
2016-08-23T09:54:00.000+00:00,S3A,8.40868,7.31202,9.25737,66,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160823T095409_sui_zug.tif
2016-08-27T09:50:00.000+00:00,S3A,8.70957,8.14499,9.58686,65,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160827T095024_sui_zug.tif
2016-08-26T10:16:00.000+00:00,S3A,8.61403,8.20297,9.3927,68,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160826T101635_sui_zug.tif
2016-08-30T10:12:00.000+00:00,S3A,8.63013,7.80447,9.31418,9,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160830T101251_sui_zug.tif
2016-08-31T09:46:00.000+00:00,S3A,8.47233,7.67429,9.37724,56,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160831T094640_sui_zug.tif
2016-09-01T09:20:00.000+00:00,S3A,9.70132,9.16597,10.32273,17,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160901T092029_sui_zug.tif
2016-09-07T10:05:00.000+00:00,S3A,8.60236,6.98144,10.00143,69,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160907T100522_sui_zug.tif
2016-09-08T09:39:00.000+00:00,S3A,8.73369,7.76139,10.1957,33,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160908T093911_sui_zug.tif
2016-09-09T09:13:00.000+00:00,S3A,9.37072,8.70164,9.9083,4,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160909T091300_sui_zug.tif
2016-09-11T10:01:00.000+00:00,S3A,8.11615,6.93955,8.75136,49,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160911T100137_sui_zug.tif
2016-09-12T09:35:00.000+00:00,S3A,8.44784,7.74012,9.18525,55,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160912T093526_sui_zug.tif
2016-09-22T10:16:00.000+00:00,S3A,7.97987,6.18266,8.97614,57,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160922T101635_sui_zug.tif
2016-09-30T10:09:00.000+00:00,S3A,9.18136,5.88331,10.93274,69,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20160930T100906_sui_zug.tif
2016-10-04T10:05:00.000+00:00,S3A,8.52809,5.34186,10.47908,57,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20161004T100522_sui_zug.tif
2016-10-12T09:57:00.000+00:00,S3A,7.66842,4.24161,10.60387,32,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20161012T095753_sui_zug.tif
2016-10-20T09:50:00.000+00:00,S3A,9.02537,4.56702,12.25816,28,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20161020T095024_sui_zug.tif
2016-10-27T10:09:00.000+00:00,S3A,8.39749,4.66652,11.21919,10,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20161027T100906_sui_zug.tif
2016-11-04T10:01:00.000+00:00,S3A,10.13454,8.10394,11.94023,8,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20161104T100137_sui_zug.tif
2016-11-12T09:54:00.000+00:00,S3A,10.39256,7.0567,14.12063,16,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20161112T095409_sui_zug.tif
